ZENITH(DEG),AZIMUTH(DEG),VERT(dBi),HORI(dBi),TOTAL(dBi)
0.0,0.0,-6.11,-42.01,-6.11
1.0,0.0,-6.11,-42.01,-6.11
2.0,0.0,-6.11,-42.01,-6.11
3.0,0.0,-6.10,-42.01,-6.10
4.0,0.0,-6.09,-42.02,-6.09
5.0,0.0,-6.08,-42.02,-6.08
6.0,0.0,-6.07,-42.02,-6.07
7.0,0.0,-6.05,-42.03,-6.05
8.0,0.0,-6.03,-42.04,-6.03
9.0,0.0,-6.01,-42.04,-6.01
10.0,0.0,-5.99,-42.05,-5.99
11.0,0.0,-5.96,-42.06,-5.96
12.0,0.0,-5.93,-42.08,-5.93
13.0,0.0,-5.90,-42.09,-5.90
14.0,0.0,-5.87,-42.10,-5.87
15.0,0.0,-5.84,-42.12,-5.84
16.0,0.0,-5.80,-42.13,-5.80
17.0,0.0,-5.77,-42.15,-5.76
18.0,0.0,-5.73,-42.17,-5.73
19.0,0.0,-5.69,-42.19,-5.68
20.0,0.0,-5.64,-42.22,-5.64
21.0,0.0,-5.60,-42.24,-5.60
22.0,0.0,-5.55,-42.27,-5.55
23.0,0.0,-5.51,-42.30,-5.51
24.0,0.0,-5.46,-42.33,-5.46
25.0,0.0,-5.41,-42.36,-5.41
26.0,0.0,-5.36,-42.40,-5.36
27.0,0.0,-5.31,-42.43,-5.31
28.0,0.0,-5.26,-42.47,-5.26
29.0,0.0,-5.21,-42.51,-5.21
30.0,0.0,-5.16,-42.56,-5.16
31.0,0.0,-5.10,-42.61,-5.10
32.0,0.0,-5.05,-42.65,-5.05
33.0,0.0,-5.00,-42.71,-5.00
34.0,0.0,-4.95,-42.76,-4.95
35.0,0.0,-4.89,-42.82,-4.89
36.0,0.0,-4.84,-42.88,-4.84
37.0,0.0,-4.79,-42.95,-4.79
38.0,0.0,-4.74,-43.02,-4.74
39.0,0.0,-4.69,-43.09,-4.69
40.0,0.0,-4.64,-43.17,-4.64
41.0,0.0,-4.59,-43.25,-4.59
42.0,0.0,-4.55,-43.33,-4.54
43.0,0.0,-4.50,-43.42,-4.50
44.0,0.0,-4.46,-43.51,-4.45
45.0,0.0,-4.41,-43.61,-4.41
46.0,0.0,-4.37,-43.72,-4.37
47.0,0.0,-4.33,-43.83,-4.33
48.0,0.0,-4.30,-43.94,-4.30
49.0,0.0,-4.26,-44.06,-4.26
50.0,0.0,-4.23,-44.19,-4.23
51.0,0.0,-4.20,-44.32,-4.20
52.0,0.0,-4.17,-44.46,-4.17
53.0,0.0,-4.15,-44.61,-4.15
54.0,0.0,-4.13,-44.76,-4.13
55.0,0.0,-4.11,-44.92,-4.11
56.0,0.0,-4.10,-45.09,-4.10
