ZENITH(DEG),AZIMUTH(DEG),VERT(dBi),HORI(dBi),TOTAL(dBi)
0.0,0.0,-999.00,3.16,3.16
1.0,0.0,-146.26,3.16,3.16
2.0,0.0,-140.26,3.15,3.15
3.0,0.0,-136.77,3.12,3.12
4.0,0.0,-134.33,3.09,3.09
5.0,0.0,-132.46,3.05,3.05
6.0,0.0,-130.97,2.99,2.99
7.0,0.0,-129.73,2.93,2.93
8.0,0.0,-128.69,2.86,2.86
9.0,0.0,-127.80,2.77,2.77
10.0,0.0,-127.04,2.67,2.67
11.0,0.0,-126.39,2.56,2.56
12.0,0.0,-125.83,2.43,2.43
13.0,0.0,-125.35,2.29,2.29
14.0,0.0,-124.95,2.14,2.14
15.0,0.0,-124.62,1.96,1.96
16.0,0.0,-124.35,1.76,1.76
17.0,0.0,-124.15,1.55,1.55
18.0,0.0,-124.00,1.31,1.31
19.0,0.0,-123.92,1.04,1.04
20.0,0.0,-123.91,0.75,0.75
21.0,0.0,-123.95,0.42,0.42
22.0,0.0,-124.06,0.06,0.06
23.0,0.0,-124.24,-0.34,-0.34
24.0,0.0,-124.51,-0.79,-0.79
25.0,0.0,-124.85,-1.29,-1.29
26.0,0.0,-125.29,-1.84,-1.84
27.0,0.0,-125.84,-2.46,-2.46
28.0,0.0,-126.52,-3.16,-3.16
29.0,0.0,-127.35,-3.94,-3.94
30.0,0.0,-128.35,-4.81,-4.81
31.0,0.0,-129.61,-5.78,-5.78
32.0,0.0,-131.19,-6.84,-6.84
33.0,0.0,-133.16,-7.95,-7.95
34.0,0.0,-135.58,-8.98,-8.98
35.0,0.0,-137.90,-9.71,-9.71
36.0,0.0,-138.10,-9.84,-9.84
37.0,0.0,-135.64,-9.27,-9.27
38.0,0.0,-132.77,-8.15,-8.15
39.0,0.0,-130.32,-6.78,-6.78
40.0,0.0,-128.29,-5.38,-5.38
41.0,0.0,-126.54,-4.03,-4.03
42.0,0.0,-125.08,-2.78,-2.78
43.0,0.0,-123.82,-1.64,-1.64
44.0,0.0,-122.72,-0.58,-0.58
45.0,0.0,-121.77,0.38,0.38
46.0,0.0,-120.92,1.26,1.26
47.0,0.0,-120.17,2.08,2.08
48.0,0.0,-119.50,2.83,2.83
49.0,0.0,-118.92,3.52,3.52
50.0,0.0,-118.40,4.16,4.16
51.0,0.0,-117.95,4.75,4.75
52.0,0.0,-117.57,5.30,5.30
53.0,0.0,-117.24,5.80,5.80
54.0,0.0,-116.97,6.27,6.27
55.0,0.0,-116.75,6.69,6.69
56.0,0.0,-116.59,7.09,7.09
57.0,0.0,-116.47,7.44,7.44
58.0,0.0,-116.42,7.77,7.77
59.0,0.0,-116.41,8.06,8.06
60.0,0.0,-116.46,8.31,8.31
61.0,0.0,-116.56,8.54,8.54
62.0,0.0,-116.71,8.73,8.73
63.0,0.0,-116.92,8.90,8.90
64.0,0.0,-117.18,9.03,9.03
65.0,0.0,-117.51,9.12,9.12
66.0,0.0,-117.90,9.19,9.19
67.0,0.0,-118.36,9.22,9.22
68.0,0.0,-118.89,9.22,9.22
69.0,0.0,-119.49,9.18,9.18
70.0,0.0,-120.17,9.11,9.11
71.0,0.0,-120.95,8.99,8.99
72.0,0.0,-121.81,8.84,8.84
73.0,0.0,-122.78,8.64,8.64
74.0,0.0,-123.86,8.39,8.39
75.0,0.0,-125.05,8.10,8.10
