ZENITH(DEG),AZIMUTH(DEG),VERT(dBi),HORI(dBi),TOTAL(dBi)
0.0,0.0,-999.00,3.16,3.16
10.0,0.0,-127.04,2.67,2.67
20.0,0.0,-123.91,0.75,0.75
30.0,0.0,-128.35,-4.81,-4.81
40.0,0.0,-128.29,-5.38,-5.38
50.0,0.0,-118.40,4.16,4.16
60.0,0.0,-116.46,8.31,8.31
70.0,0.0,-120.17,9.11,9.11
80.0,0.0,-132.42,5.66,5.66
90.0,0.0,-181.50,-179.37,-177.29
0.0,10.0,-12.04,3.03,3.16
10.0,10.0,-12.73,2.54,2.66
20.0,10.0,-15.18,0.60,0.72
30.0,10.0,-20.85,-4.97,-4.86
40.0,10.0,-22.46,-5.55,-5.47
50.0,10.0,-16.72,3.97,4.01
60.0,10.0,-15.78,8.11,8.12
70.0,10.0,-19.21,8.89,8.89
80.0,10.0,-26.68,5.44,5.44
90.0,10.0,-175.70,-163.60,-163.34
0.0,20.0,-6.15,2.62,3.16
10.0,20.0,-6.85,2.12,2.64
20.0,20.0,-9.33,0.16,0.62
30.0,20.0,-15.05,-5.46,-5.00
40.0,20.0,-16.69,-6.08,-5.72
50.0,20.0,-11.01,3.39,3.55
60.0,20.0,-10.12,7.48,7.56
70.0,20.0,-13.59,8.23,8.26
80.0,20.0,-21.09,4.76,4.77
90.0,20.0,-187.28,-160.63,-160.62
0.0,30.0,-2.86,1.92,3.16
10.0,30.0,-3.57,1.40,2.60
20.0,30.0,-6.08,-0.61,0.48
30.0,30.0,-11.87,-6.29,-5.23
40.0,30.0,-13.58,-6.97,-6.11
50.0,30.0,-7.98,2.42,2.80
60.0,30.0,-7.17,6.44,6.63
70.0,30.0,-10.71,7.13,7.20
80.0,30.0,-18.26,3.62,3.65
90.0,30.0,-179.22,-161.57,-161.50
0.0,40.0,-0.67,0.85,3.16
10.0,40.0,-1.40,0.31,2.55
20.0,40.0,-3.97,-1.74,0.30
30.0,40.0,-9.84,-7.50,-5.50
40.0,40.0,-11.64,-8.26,-6.62
50.0,40.0,-6.14,1.03,1.79
60.0,40.0,-5.43,4.96,5.34
70.0,40.0,-9.05,5.58,5.73
80.0,40.0,-16.65,2.02,2.08
90.0,40.0,-173.81,-164.84,-164.33
0.0,50.0,0.85,-0.67,3.16
10.0,50.0,0.10,-1.23,2.50
20.0,50.0,-2.52,-3.34,0.10
30.0,50.0,-8.48,-9.18,-5.81
40.0,50.0,-10.36,-10.03,-7.18
50.0,50.0,-4.98,-0.84,0.57
60.0,50.0,-4.39,2.99,3.72
70.0,50.0,-8.10,3.53,3.82
80.0,50.0,-15.76,-0.08,0.04
90.0,50.0,-179.03,-170.38,-169.83
0.0,60.0,1.92,-2.86,3.16
10.0,60.0,1.15,-3.43,2.45
20.0,60.0,-1.53,-5.59,-0.09
