Timestamp	Call	MHz	SNR	Drift	Grid	Pwr	Reporter	RGrid	km	az
 2019-04-04 07:18 	 UR3QKC 	 14.097081 	 -27 	 0 	 KN77 	 0.002 	 IS0KYB 	 JM49jn 	 2272 	 257 
 2019-04-04 07:18 	 PH5C 	 14.097134 	 -26 	 1 	 JO33 	 0.2 	 IS0KYB 	 JM49jn 	 1554 	 174 
 2019-04-04 07:18 	 DF0PDF 	 14.097193 	 -23 	 -1 	 JO42cw 	 0.01 	 IS0KYB 	 JM49jn 	 1488 	 178 
 2019-04-04 07:18 	 4X1MB 	 14.097064 	 -16 	 1 	 KM71 	 0.2 	 IS0KYB 	 JM49jn 	 2522 	 298 
 2019-04-04 07:18 	 DL1FX 	 14.097119 	 -14 	 0 	 JN49gr 	 0.1 	 IS0KYB 	 JM49jn 	 1131 	 179 
 2019-04-04 07:16 	 UR3QKC 	 14.097105 	 -26 	 0 	 KN77 	 0.002 	 IS0KYB 	 JM49jn 	 2272 	 257 
 2019-04-04 07:16 	 LA3JJ 	 14.097171 	 -23 	 0 	 JO59bh 	 5 	 IS0KYB 	 JM49jn 	 2198 	 183 
 2019-04-04 07:16 	 OH5XO 	 14.097093 	 -11 	 0 	 KP41 	 0.5 	 IS0KYB 	 JM49jn 	 2797 	 219 
 2019-04-04 07:16 	 F6APU 	 14.097120 	 -9 	 0 	 JN38un 	 5 	 IS0KYB 	 JM49jn 	 1004 	 175 
 2019-04-04 07:12 	 RA3III 	 14.097097 	 -22 	 0 	 KO66jf 	 0.2 	 IS0KYB 	 JM49jn 	 2550 	 234 
 2019-04-04 07:12 	 G0CCL 	 14.097137 	 -26 	 0 	 JO02bf 	 5 	 IS0KYB 	 JM49jn 	 1557 	 151 
 2019-04-04 07:12 	 DL1FX 	 14.097119 	 -23 	 0 	 JN49gr 	 0.1 	 IS0KYB 	 JM49jn 	 1131 	 179 
 2019-04-04 07:12 	 UR5MLG 	 14.097009 	 -14 	 -2 	 KN99 	 0.2 	 IS0KYB 	 JM49jn 	 2610 	 257 
 2019-04-04 07:12 	 OK1DNZ 	 14.097022 	 -9 	 0 	 JN79vw 	 2 	 IS0KYB 	 JM49jn 	 1278 	 208 
 2019-04-04 07:10 	 OZ1BZS 	 14.097123 	 -27 	 -1 	 JO46ld 	 5 	 IS0KYB 	 JM49jn 	 1844 	 180 
 2019-04-04 07:10 	 G0CCL 	 14.097137 	 -23 	 0 	 JO02bf 	 5 	 IS0KYB 	 JM49jn 	 1557 	 151 
 2019-04-04 07:10 	 PD0WIM 	 14.097095 	 -18 	 3 	 JO33 	 5 	 IS0KYB 	 JM49jn 	 1554 	 174 
 2019-04-04 07:10 	 HZ1SK 	 14.097080 	 -13 	 0 	 KL91 	 0.2 	 IS0KYB 	 JM49jn 	 3493 	 312 
 2019-04-04 07:10 	 4X1MB 	 14.097064 	 -13 	 1 	 KM71 	 0.2 	 IS0KYB 	 JM49jn 	 2522 	 298 
 2019-04-04 07:08 	 UR5KHL 	 14.097081 	 -27 	 0 	 KO30 	 0.2 	 IS0KYB 	 JM49jn 	 1865 	 236 
 2019-04-04 07:08 	 OH5XO 	 14.097093 	 -11 	 -1 	 KP41 	 0.5 	 IS0KYB 	 JM49jn 	 2797 	 219 
 2019-04-04 07:06 	 LA6GH 	 14.097127 	 -26 	 0 	 JP32cl 	 0.1 	 IS0KYB 	 JM49jn 	 2554 	 175 
 2019-04-04 07:06 	 DL1FX 	 14.097119 	 -20 	 0 	 JN49gr 	 0.1 	 IS0KYB 	 JM49jn 	 1131 	 179 
 2019-04-04 07:06 	 OE3KFB 	 14.097092 	 -14 	 0 	 JN78wl 	 5 	 IS0KYB 	 JM49jn 	 1141 	 212 
 2019-04-04 07:06 	 HZ1SK 	 14.097080 	 -11 	 0 	 KL91 	 0.2 	 IS0KYB 	 JM49jn 	 3493 	 312 
 2019-04-04 07:04 	 UR5MLG 	 14.097010 	 -15 	 -2 	 KN99 	 0.2 	 IS0KYB 	 JM49jn 	 2610 	 257 
 2019-04-04 07:02 	 PH5C 	 14.097134 	 -24 	 0 	 JO33 	 0.2 	 IS0KYB 	 JM49jn 	 1554 	 174 
 2019-04-04 07:02 	 OZ7IT 	 14.097143 	 -23 	 0 	 JO65df 	 5 	 IS0KYB 	 JM49jn 	 1761 	 190 
 2019-04-04 07:02 	 DL0IF 	 14.097099 	 -23 	 -1 	 JN48 	 0.2 	 IS0KYB 	 JM49jn 	 992 	 181 
 2019-04-04 07:02 	 OK1DNZ 	 14.097022 	 -16 	 0 	 JN79vw 	 2 	 IS0KYB 	 JM49jn 	 1278 	 208 
 2019-04-04 07:02 	 DL4FO 	 14.097029 	 -5 	 0 	 JO40kd 	 0.5 	 IS0KYB 	 JM49jn 	 1177 	 180 
 2019-04-04 07:00 	 DL1FX 	 14.097119 	 -18 	 1 	 JN49gr 	 0.1 	 IS0KYB 	 JM49jn 	 1131 	 179 
 2019-04-04 07:00 	 HZ1SK 	 14.097081 	 -16 	 0 	 KL91 	 0.2 	 IS0KYB 	 JM49jn 	 3493 	 312 
 2019-04-04 07:00 	 PD0WIM 	 14.097094 	 -15 	 3 	 JO33 	 5 	 IS0KYB 	 JM49jn 	 1554 	 174 
 2019-04-04 06:58 	 HZ1SK 	 14.097081 	 -12 	 0 	 KL91 	 0.2 	 IS0KYB 	 JM49jn 	 3493 	 312 
 2019-04-04 06:56 	 UR5MLG 	 14.097011 	 -12 	 -2 	 KN99 	 0.2 	 IS0KYB 	 JM49jn 	 2610 	 257 
 2019-04-04 06:56 	 OH5XO 	 14.097093 	 -4 	 0 	 KP41 	 0.5 	 IS0KYB 	 JM49jn 	 2797 	 219 
 2019-04-04 06:56 	 DL1FX 	 14.097119 	 -21 	 0 	 JN49gr 	 0.1 	 IS0KYB 	 JM49jn 	 1131 	 179 
 2019-04-04 06:56 	 HZ1SK 	 14.097081 	 -16 	 0 	 KL91 	 0.2 	 IS0KYB 	 JM49jn 	 3493 	 312 
 2019-04-04 06:54 	 OH8GKP 	 14.097178 	 -20 	 -1 	 KP24rt 	 5 	 IS0KYB 	 JM49jn 	 3007 	 209 
