Timestamp	Call	MHz	SNR	Drift	Grid	Pwr	Reporter	RGrid	km	az
 2019-04-05 10:40 	 OZ1BZS 	 14.097127 	 -19 	 -1 	 JO46ld 	 5 	 IS0KYB 	 JM49jn 	 1844 	 180 
 2019-04-05 10:40 	 EA7ADI 	 14.097023 	 -18 	 -3 	 IM77ai 	 0.2 	 IS0KYB 	 JM49jn 	 1306 	 75 
 2019-04-05 10:40 	 OK1RPL 	 14.097070 	 -17 	 -2 	 JN69qs 	 0.1 	 IS0KYB 	 JM49jn 	 1191 	 199 
 2019-04-05 10:40 	 G4EMA 	 14.097142 	 -14 	 0 	 IO93 	 0.2 	 IS0KYB 	 JM49jn 	 1717 	 150 
 2019-04-05 10:40 	 M0DMC 	 14.097113 	 -8 	 -1 	 JO02be 	 0.05 	 IS0KYB 	 JM49jn 	 1553 	 151 
 2019-04-05 10:40 	 DG7RJ 	 14.097165 	 -4 	 0 	 JN58th 	 5 	 IS0KYB 	 JM49jn 	 999 	 194 
 2019-04-05 10:40 	 G1FXB 	 14.097101 	 +4 	 -1 	 IO91 	 0.1 	 IS0KYB 	 JM49jn 	 1528 	 146 
 2019-04-05 10:40 	 G0CCL 	 14.097176 	 +5 	 0 	 JO02bf 	 5 	 IS0KYB 	 JM49jn 	 1557 	 151 
 2019-04-05 10:38 	 F6APU 	 14.097075 	 -7 	 0 	 JN38un 	 5 	 IS0KYB 	 JM49jn 	 1004 	 175 
 2019-04-05 10:38 	 M3JJR 	 14.097106 	 -13 	 1 	 IO91 	 0.2 	 IS0KYB 	 JM49jn 	 1528 	 146 
 2019-04-05 10:38 	 OZ7IT 	 14.097147 	 -3 	 0 	 JO65df 	 5 	 IS0KYB 	 JM49jn 	 1761 	 190 
 2019-04-05 10:38 	 MW0ATK 	 14.097029 	 +11 	 0 	 IO81jp 	 5 	 IS0KYB 	 JM49jn 	 1631 	 141 
 2019-04-05 10:38 	 PA3BTI 	 14.097168 	 +3 	 -2 	 JO22og 	 20 	 IS0KYB 	 JM49jn 	 1440 	 168 
 2019-04-05 10:38 	 DL4XJ 	 14.097087 	 -17 	 0 	 JO42un 	 2 	 IS0KYB 	 JM49jn 	 1447 	 183 
 2019-04-05 10:38 	 LA3LJA 	 14.097116 	 -17 	 -1 	 JP53ej 	 0.5 	 IS0KYB 	 JM49jn 	 2652 	 183 
 2019-04-05 10:38 	 G0CCL 	 14.097175 	 +12 	 0 	 JO02bf 	 5 	 IS0KYB 	 JM49jn 	 1557 	 151 
 2019-04-05 10:36 	 DG7NFX 	 14.097053 	 -26 	 0 	 JN59ij 	 0.2 	 IS0KYB 	 JM49jn 	 1104 	 189 
 2019-04-05 10:36 	 M0REP 	 14.097140 	 -23 	 0 	 IO83vi 	 0.2 	 IS0KYB 	 JM49jn 	 1745 	 147 
 2019-04-05 10:36 	 UR5MLG 	 14.097011 	 -20 	 -2 	 KN99 	 0.2 	 IS0KYB 	 JM49jn 	 2610 	 257 
 2019-04-05 10:36 	 SM0FXK 	 14.097150 	 -17 	 0 	 JO99eh 	 2 	 IS0KYB 	 JM49jn 	 2297 	 201 
 2019-04-05 10:36 	 4X1MB 	 14.097069 	 -17 	 0 	 KM71 	 0.2 	 IS0KYB 	 JM49jn 	 2522 	 298 
 2019-04-05 10:36 	 EA7ADI 	 14.097022 	 -11 	 -4 	 IM77ai 	 0.2 	 IS0KYB 	 JM49jn 	 1306 	 75 
 2019-04-05 10:36 	 UR5KHL 	 14.097085 	 -11 	 0 	 KO30 	 0.2 	 IS0KYB 	 JM49jn 	 1865 	 236 
 2019-04-05 10:36 	 G4MRK 	 14.097098 	 -6 	 -2 	 IO94hw 	 5 	 IS0KYB 	 JM49jn 	 1869 	 152 
 2019-04-05 10:36 	 G0CCL 	 14.097121 	 -1 	 -1 	 JO02bf 	 5 	 IS0KYB 	 JM49jn 	 1557 	 151 
 2019-04-05 10:34 	 R2ARX 	 14.097069 	 -24 	 0 	 KO96ca 	 1 	 IS0KYB 	 JM49jn 	 2822 	 242 
 2019-04-05 10:34 	 DG7NFX 	 14.097052 	 -23 	 1 	 JN59ij 	 0.2 	 IS0KYB 	 JM49jn 	 1104 	 189 
 2019-04-05 10:34 	 G4TKO 	 14.097091 	 -22 	 0 	 IO93 	 0.2 	 IS0KYB 	 JM49jn 	 1717 	 150 
 2019-04-05 10:34 	 DL2XL/P 	 14.097142 	 -21 	 -2 	 JN39vd 	 0.2 	 IS0KYB 	 JM49jn 	 1069 	 175 
 2019-04-05 10:34 	 M0SAS 	 14.097109 	 -17 	 0 	 IO82ve 	 0.2 	 IS0KYB 	 JM49jn 	 1638 	 145 
 2019-04-05 10:34 	 M0MVA 	 14.097152 	 -11 	 0 	 IO81 	 0.5 	 IS0KYB 	 JM49jn 	 1610 	 141 
 2019-04-05 10:34 	 M0BSI 	 14.097127 	 -8 	 0 	 IO70jc 	 2 	 IS0KYB 	 JM49jn 	 1605 	 132 
 2019-04-05 10:34 	 G0CCL 	 14.097121 	 0 	 0 	 JO02bf 	 5 	 IS0KYB 	 JM49jn 	 1557 	 151 
 2019-04-05 10:32 	 OK1RPL 	 14.097070 	 -19 	 -2 	 JN69qs 	 0.1 	 IS0KYB 	 JM49jn 	 1191 	 199 
 2019-04-05 10:32 	 G7CKX 	 14.097061 	 -10 	 0 	 IO83wb 	 0.2 	 IS0KYB 	 JM49jn 	 1715 	 147 
 2019-04-05 10:32 	 UR5KHL 	 14.097085 	 -9 	 0 	 KO30 	 0.2 	 IS0KYB 	 JM49jn 	 1865 	 236 
 2019-04-05 10:32 	 EA7ADI 	 14.097022 	 -7 	 -3 	 IM77ai 	 0.2 	 IS0KYB 	 JM49jn 	 1306 	 75 
 2019-04-05 10:32 	 G0CCL 	 14.097175 	 -1 	 0 	 JO02bf 	 5 	 IS0KYB 	 JM49jn 	 1557 	 151 
 2019-04-05 10:32 	 G4CVA 	 14.097096 	 0 	 4 	 IO94vc 	 1 	 IS0KYB 	 JM49jn 	 1753 	 154 
 2019-04-05 10:32 	 M0JBA 	 14.097114 	 +1 	 -1 	 IO93ss 	 2 	 IS0KYB 	 JM49jn 	 1727 	 152 
 2019-04-05 10:32 	 OZ7IT 	 14.097147 	 +1 	 0 	 JO65df 	 5 	 IS0KYB 	 JM49jn 	 1761 	 190 
 2019-04-05 10:32 	 PA3BTI 	 14.097168 	 +3 	 0 	 JO22og 	 20 	 IS0KYB 	 JM49jn 	 1440 	 168 
 2019-04-05 10:30 	 G0UJA 	 14.097142 	 -18 	 0 	 JO01bj 	 0.5 	 IS0KYB 	 JM49jn 	 1477 	 150 
 2019-04-05 10:30 	 F6KOP 	 14.097115 	 -18 	 0 	 JN18 	 0.2 	 IS0KYB 	 JM49jn 	 1095 	 153 
 2019-04-05 10:30 	 G3VBQ 	 14.097051 	 -15 	 0 	 IO81wr 	 0.5 	 IS0KYB 	 JM49jn 	 1593 	 144 
 2019-04-05 10:30 	 SM0FXK 	 14.097150 	 -12 	 0 	 JO99eh 	 2 	 IS0KYB 	 JM49jn 	 2297 	 201 
 2019-04-05 10:30 	 G4SDL 	 14.097038 	 -11 	 0 	 IO83tk 	 1 	 IS0KYB 	 JM49jn 	 1759 	 147 
 2019-04-05 10:30 	 G0LUJ 	 14.097072 	 -6 	 0 	 IO83ls 	 5 	 IS0KYB 	 JM49jn 	 1814 	 146 
 2019-04-05 10:30 	 OZ1BZS 	 14.097127 	 -6 	 -1 	 JO46ld 	 5 	 IS0KYB 	 JM49jn 	 1844 	 180 
 2019-04-05 10:30 	 G0CCL 	 14.097175 	 -2 	 0 	 JO02bf 	 5 	 IS0KYB 	 JM49jn 	 1557 	 151 
 2019-04-05 10:30 	 G7RHF 	 14.097093 	 +3 	 0 	 IO82qk 	 5 	 IS0KYB 	 JM49jn 	 1677 	 144 
 2019-04-05 10:28 	 DL2HAH 	 14.097151 	 -19 	 0 	 JO54 	 0.1 	 IS0KYB 	 JM49jn 	 1667 	 186 
 2019-04-05 10:28 	 OE3KFB 	 14.097098 	 -15 	 1 	 JN78wl 	 5 	 IS0KYB 	 JM49jn 	 1141 	 212 
 2019-04-05 10:28 	 4X1MB 	 14.097068 	 -14 	 1 	 KM71 	 0.2 	 IS0KYB 	 JM49jn 	 2522 	 298 
 2019-04-05 10:28 	 UR5MLG 	 14.097011 	 -17 	 -1 	 KN99 	 0.2 	 IS0KYB 	 JM49jn 	 2610 	 257 
 2019-04-05 10:28 	 GI8YJV 	 14.097143 	 -11 	 0 	 IO74 	 0.2 	 IS0KYB 	 JM49jn 	 1955 	 142 
 2019-04-05 10:28 	 G7OAI 	 14.097077 	 -3 	 1 	 IO83 	 0.2 	 IS0KYB 	 JM49jn 	 1788 	 145 
 2019-04-05 10:28 	 G0CCL 	 14.097120 	 -2 	 0 	 JO02bf 	 5 	 IS0KYB 	 JM49jn 	 1557 	 151 
 2019-04-05 10:28 	 MW0ATK 	 14.097029 	 +6 	 0 	 IO81jp 	 5 	 IS0KYB 	 JM49jn 	 1631 	 141 
 2019-04-05 10:26 	 PD7JK 	 14.097048 	 -17 	 0 	 JO21ju 	 0.2 	 IS0KYB 	 JM49jn 	 1401 	 166 
